label,nearest_official,jaccard,n_cases,cases,verdict
DL-丙胺酸,L-丙胺酸,0.8,1,c10_鮮蔬烤雞三明治,
5-次黃嘌呤核苷磷酸二鈉,5'-次黃嘌呤核苷磷酸二鈉,0.769,1,c10_鮮蔬烤雞三明治,
5'-次鳥嘌呤核苷磷酸二鈉,5'-鳥嘌呤核苷磷酸二鈉,0.769,1,c10_鮮蔬烤雞三明治,
5′-次黃嘌呤核苷磷酸二鈉,5'-次黃嘌呤核苷磷酸二鈉,0.714,1,c28_北海鱈魚香絲,
5′-鳥嘌呤核苷磷酸二鈉,5'-鳥嘌呤核苷磷酸二鈉,0.692,1,c28_北海鱈魚香絲,
維生素E,天然維生素E,0.6,2,c15_木瓜牛乳、c30_吉士豬肉堡加蛋,
紅色六號,食用紅色六號,0.6,1,c28_北海鱈魚香絲,
黃色五號,食用黃色五號,0.6,1,c28_北海鱈魚香絲,
維生素E(抗氧化劑),天然維生素E,0.6,1,c43_藤椒風味烤雞便當,
水解植物蛋白,水解植物蛋白鉻螯合物,0.556,1,c28_北海鱈魚香絲,
蛋白,鐵蛋白,0.5,1,c25_優質蛋白奶-無加糖燕麥,
乾酪,乾酪素,0.5,2,c30_吉士豬肉堡加蛋、c37_爆蛋流心豬肉堡,
麻油,蓖麻油,0.5,1,c38_科學麵,
著色劑焦糖色素,焦糖色素,0.5,1,c38_科學麵,
茴香,茴香醛,0.5,1,c40_米香-催淚蛋親子丼飯,
