case_id,n_items,n_additive,n_nonexact,n_unknown
c01_柳橙綠茶,10,3,0,3
c02_濃豆漿,2,0,0,1
c03_厚奶茶,6,1,0,3
c04_比菲多,8,0,0,2
c06_奶茶,6,1,0,3
c07_綠奶茶,22,10,0,6
c08_椰香綠咖哩嫩雞飯,25,0,0,17
c09_麻婆豆腐燴飯,49,6,0,35
c10_鮮蔬烤雞三明治,39,3,0,26
c11_大飯糰椒香鮪魚,46,10,0,23
c12_肉鬆御飯糰,21,1,0,19
c13_紅茶,7,2,0,1
c14_鮮乳,2,0,0,2
c15_木瓜牛乳,16,7,1,5
c17_三合一咖啡,11,5,0,4
c18_蝦味先原味,21,12,0,7
c19_經典原味洋芋片,7,4,0,2
c20_海苔洋芋片,18,7,0,8
c21_Pockey百奇草莓棒,17,2,0,10
c22_UNCLELEMON蜂蜜檸檬風味膠囊,3,0,0,2
c23_in果凍,27,17,0,5
c24_優質蛋白奶-堅果杏仁,14,1,0,9
c25_優質蛋白奶-無加糖燕麥,8,0,0,5
c26_冰鎮芭樂綠茶,9,3,0,3
c27_冰鎮葡萄鮮冰茶,8,2,0,3
c28_北海鱈魚香絲,21,6,0,12
c29_可口可樂,7,3,0,2
c30_吉士豬肉堡加蛋,65,18,0,38
c31_增雞蛋白餐,59,18,0,30
c32_奧利奧捲心酥-巧克力口味,14,1,0,7
c33_手摘果物-無籽梅肉,11,7,0,2
c34_日式佛蒙特咖哩雞肉飯,37,0,0,27
c35_極饕-真飽經典麻醬涼麵,66,24,1,30
c36_滿漢大餐酸菜白肉拌麵,42,13,0,23
c37_爆蛋流心豬肉堡,55,14,0,32
c38_科學麵,25,9,1,11
c39_米香-三杯雞燴飯,21,4,1,15
c40_米香-催淚蛋親子丼飯,60,13,0,37
c41_綠巨人珍珠玉米,4,0,0,3
c42_蔥鹽炙燒豬肉便當,0,0,0,0
c43_藤椒風味烤雞便當,39,5,0,26
c44_酸菜白肉個人鍋,38,1,0,32
c45_金沙烤豆腐義大利麵,25,1,0,14
c46_雙拼起司紅醬焗飯,73,16,0,44
c47_麥香奶茶,10,3,0,3
c48_麥香紅茶,10,5,0,1
c49_麥香綠茶,8,2,0,2
