case_id,source,reason,items_old,items_new,additive_old,additive_new,unknown_old,unknown_new,coverage_old,coverage_new,additive_gained,additive_lost
c01_柳橙綠茶,raw_text,,10,10,3,3,3,3,0.667,0.667,0,0
c02_濃豆漿,raw_text,,2,2,0,0,1,1,0.5,0.5,0,0
c03_厚奶茶,raw_text,,6,6,1,1,3,3,0.5,0.5,0,0
c04_比菲多,raw_text,,8,8,0,0,2,2,0.714,0.714,0,0
c06_奶茶,raw_text,,6,6,1,1,3,3,0.5,0.5,0,0
c07_綠奶茶,raw_text,,7,22,0,10,4,6,0.429,0.714,10,0
c08_椰香綠咖哩嫩雞飯,raw_text,,24,25,0,0,16,17,0.273,0.261,0,0
c09_麻婆豆腐燴飯,raw_text,,47,49,6,6,33,35,0.298,0.286,0,0
c10_鮮蔬烤雞三明治,raw_text,,39,39,3,3,26,26,0.333,0.333,0,0
c11_大飯糰椒香鮪魚,raw_text,,45,46,10,10,22,23,0.511,0.5,0,0
c12_肉鬆御飯糰,raw_text,,7,21,0,1,7,19,0.0,0.095,1,0
c13_紅茶,raw_text,,7,7,2,2,1,1,0.833,0.833,0,0
c14_鮮乳,raw_text,,1,2,0,0,1,2,0.0,0.0,0,0
c15_木瓜牛乳,raw_text,,12,16,4,7,4,5,0.636,0.667,4,1
c17_三合一咖啡,raw_text,,11,11,5,5,4,4,0.6,0.6,0,0
c18_蝦味先原味,raw_text,,21,21,12,12,7,7,0.667,0.667,0,0
c19_經典原味洋芋片,raw_text,,7,7,4,4,2,2,0.714,0.714,0,0
c20_海苔洋芋片,raw_text,,10,18,5,7,4,8,0.6,0.529,2,0
c21_Pockey百奇草莓棒,raw_text,,14,17,2,2,7,10,0.462,0.375,0,0
c22_UNCLELEMON蜂蜜檸檬風味膠囊,raw_text,,3,3,0,0,2,2,0.333,0.333,0,0
c23_in果凍,raw_text,,24,27,17,17,3,5,0.875,0.815,1,1
c24_優質蛋白奶-堅果杏仁,raw_text,,11,14,1,1,6,9,0.4,0.308,0,0
c25_優質蛋白奶-無加糖燕麥,raw_text,,7,8,0,0,4,5,0.333,0.286,0,0
c26_冰鎮芭樂綠茶,raw_text,,8,9,3,3,2,3,0.714,0.625,0,0
c27_冰鎮葡萄鮮冰茶,raw_text,,8,8,2,2,3,3,0.571,0.571,0,0
c28_北海鱈魚香絲,raw_text,,18,21,6,6,9,12,0.5,0.429,0,0
c29_可口可樂,raw_text,,7,7,3,3,2,2,0.667,0.667,0,0
c30_吉士豬肉堡加蛋,raw_text,,7,65,0,18,7,38,0.0,0.406,18,0
c31_增雞蛋白餐,raw_text,,59,59,19,18,30,30,0.483,0.483,0,0
c32_奧利奧捲心酥-巧克力口味,raw_text,,12,14,1,1,6,7,0.455,0.462,0,0
c33_手摘果物-無籽梅肉,raw_text,,11,11,7,7,2,2,0.8,0.8,0,0
c34_日式佛蒙特咖哩雞肉飯,raw_text,,13,37,0,0,9,27,0.25,0.182,0,0
c35_極饕-真飽經典麻醬涼麵,raw_text,,15,66,7,24,8,30,0.467,0.524,17,0
c36_滿漢大餐酸菜白肉拌麵,raw_text,,44,42,13,13,23,23,0.452,0.452,0,0
c37_爆蛋流心豬肉堡,raw_text,,30,55,5,14,20,32,0.333,0.396,9,0
c38_科學麵,raw_text,,23,25,10,9,11,11,0.522,0.56,1,1
c39_米香-三杯雞燴飯,raw_text,,21,21,4,4,15,15,0.286,0.286,0,0
c40_米香-催淚蛋親子丼飯,raw_text,,23,60,0,13,18,37,0.143,0.362,13,0
c41_綠巨人珍珠玉米,raw_text,,4,4,0,0,3,3,0.25,0.25,0,0
c42_蔥鹽炙燒豬肉便當,raw_text,allergen_warning_only,6,0,0,0,6,0,0.0,,0,0
c43_藤椒風味烤雞便當,raw_text,,31,39,10,5,21,26,0.3,0.297,0,0
c44_酸菜白肉個人鍋,raw_text,,31,38,0,1,26,32,0.161,0.158,1,0
c45_金沙烤豆腐義大利麵,raw_text,,25,25,1,1,14,14,0.333,0.333,0,0
c46_雙拼起司紅醬焗飯,raw_text,,32,73,9,16,17,44,0.469,0.389,9,1
c47_麥香奶茶,raw_text,,10,10,3,3,3,3,0.667,0.667,0,0
c48_麥香紅茶,raw_text,,10,10,5,5,1,1,0.889,0.889,0,0
c49_麥香綠茶,raw_text,,8,8,2,2,2,2,0.714,0.714,0,0
