case_id,change,label,official,match
c07_綠奶茶,gained,β-胡蘿蔔素,β-胡蘿蔔素,exact
c07_綠奶茶,gained,乳酸硬脂酸鈉,乳酸硬脂酸鈉,exact
c07_綠奶茶,gained,乾酪素鈉,乾酪素鈉,exact
c07_綠奶茶,gained,二氧化矽,二氧化矽,exact
c07_綠奶茶,gained,單及雙脂肪酸甘油二乙醯酒石酸酯,單及雙脂肪酸甘油二乙醯酒石酸酯,exact
c07_綠奶茶,gained,多磷酸鈉,多磷酸鈉,exact
c07_綠奶茶,gained,碳酸鈣,碳酸鈣,exact
c07_綠奶茶,gained,磷酸氫二鉀,磷酸氫二鉀,exact
c07_綠奶茶,gained,維生素C(抗氧化劑),抗壞血酸（維生素C ）,exact
c07_綠奶茶,gained,脂肪酸甘油酯,脂肪酸甘油酯,exact
c12_肉鬆御飯糰,gained,玉米糖膠,玉米糖膠,exact
c15_木瓜牛乳,gained,L-抗壞血酸棕櫚酸酯,L-抗壞血酸棕櫚酸酯（維生素C）,exact
c15_木瓜牛乳,gained,β-胡蘿蔔素,β-胡蘿蔔素,exact
c15_木瓜牛乳,gained,甘油,甘油,exact
c15_木瓜牛乳,gained,複方β-胡蘿蔔素,β-胡蘿蔔素,substring
c15_木瓜牛乳,lost,複方β-胡蘿蔔素(甘油、水、β-胡蘿蔔素、抗氧化劑(L-抗壞血酸棕櫚酸酯、維生素E)),β-胡蘿蔔素,substring
c20_海苔洋芋片,gained,味精,L-麩酸鈉,exact
c20_海苔洋芋片,gained,脂肪酸甘油酯,脂肪酸甘油酯,exact
c23_in果凍,gained,醋酸,醋酸,exact
c23_in果凍,lost,含醋酸,醋酸,substring
c30_吉士豬肉堡加蛋,gained,5'-次黃嘌呤核苷磷酸二鈉,5’-次黃嘌呤核苷磷酸二鈉,exact
c30_吉士豬肉堡加蛋,gained,5'-鳥嘌呤核苷磷酸二鈉,5’-鳥嘌呤核苷磷酸二鈉,exact
c30_吉士豬肉堡加蛋,gained,L-麩酸鈉,L-麩酸鈉,exact
c30_吉士豬肉堡加蛋,gained,乙醯化己二酸二澱粉,乙醯化己二酸二澱粉,exact
c30_吉士豬肉堡加蛋,gained,己二烯酸鉀(防腐劑),己二烯酸鉀,exact
c30_吉士豬肉堡加蛋,gained,檸檬酸,檸檬酸,exact
c30_吉士豬肉堡加蛋,gained,檸檬酸鈉,檸檬酸鈉,exact
c30_吉士豬肉堡加蛋,gained,焦糖色素,焦糖色素,exact
c30_吉士豬肉堡加蛋,gained,玉米糖膠,玉米糖膠,exact
c30_吉士豬肉堡加蛋,gained,碳酸鈣,碳酸鈣,exact
c30_吉士豬肉堡加蛋,gained,磷酸二澱粉,磷酸二澱粉,exact
c30_吉士豬肉堡加蛋,gained,磷酸氫二鈉,磷酸氫二鈉（無水）,exact
c30_吉士豬肉堡加蛋,gained,磷酸鈉,磷酸鈉,exact
c30_吉士豬肉堡加蛋,gained,維生素C(抗氧化劑),抗壞血酸（維生素C ）,exact
c30_吉士豬肉堡加蛋,gained,胺基乙酸,胺基乙酸,exact
c30_吉士豬肉堡加蛋,gained,酪蛋白,乾酪素,exact
c30_吉士豬肉堡加蛋,gained,食用黃色五號,食用黃色五號,exact
c30_吉士豬肉堡加蛋,gained,食用黃色四號,食用黃色四號,exact
c35_極饕-真飽經典麻醬涼麵,gained,5'-次黃嘌呤核苷磷酸二鈉,5’-次黃嘌呤核苷磷酸二鈉,exact
c35_極饕-真飽經典麻醬涼麵,gained,5'-鳥嘌呤核苷磷酸二鈉,5’-鳥嘌呤核苷磷酸二鈉,exact
c35_極饕-真飽經典麻醬涼麵,gained,D-山梨醇液70%,D-山梨醇液70％,exact
c35_極饕-真飽經典麻醬涼麵,gained,DL-胺基丙酸,DL-胺基丙酸,exact
