case_id,field,gt,pred
c01_柳橙綠茶,brand,純喫茶,統一
c01_柳橙綠茶,allergy_warning,本生產線亦生產含麩質之穀物、大豆及牛奶製品的產品。,本產品生產線亦生產含麩質之穀物、大豆及牛奶製品的產品。
c02_濃豆漿,name,光泉無加糖濃豆漿,無加糖黃豆漿
c02_濃豆漿,allergy_warning,本產品含大豆，對其過敏者不宜飲用。該生產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。,本產品含大豆，對其過敏者不宜飲用。該產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。
c03_厚奶茶,brand,義美,義美IMEI
c03_厚奶茶,allergy_warning,過敏原資訊:本產品含有奶類成分 (本產品與其他含有大豆類、花生、芝麻的產品於同一工廠生產，食物過敏者請留意),過敏原資訊:本產品含有奶類成分。本產品與其他含有大豆類、花生、芝麻的產品於同一工廠生產，食物過敏者請留意。
c04_比菲多,allergy_warning,本產品含有牛奶及其製品,產品含牛奶及其製品
c04_比菲多,ingredients_list,"['水', '蔗糖', '奶粉', '葡萄糖', '香料', '菊糖', '婀娜多(天然紅木種子萃取)', '活性乳酸菌']","['水', '蔗糖', '奶粉', '葡萄糖', '香料', '菊糖', '婀娜多天然紅木種子萃取', '活性乳酸菌']"
c06_奶茶,brand,義美,義美 I-MEI
c07_綠奶茶,name,飲冰室茶集綠奶茶,飲冰室茶集 醇奶茶
c07_綠奶茶,allergy_warning,本產品含乾酪素鈉(牛奶來源)，該生產線亦生產含麩質之穀物及大豆製品的產品。,"本產品含咖啡因28mg/100ml
過敏原資訊: 本產品含乾酪素鈉(牛奶來源),該生產線亦生產含麩質之穀物及大豆製品的產品。"
c07_綠奶茶,ingredients_list,"['水', '蔗糖', '奶精(葡萄糖漿、氫化椰子油、乾酪素鈉、磷酸氫二鉀、脂肪酸甘油酯、二氧化矽、β-胡蘿蔔素)', '茉莉綠茶', '奶精(葡萄糖漿、氫化棕櫚仁油、磷酸氫二鉀、乾酪素鈉、碳酸鈣、脂肪酸甘油酯、多磷酸鈉、單及雙脂肪酸甘油二乙醯酒石酸酯、食鹽)', '麥芽糊精', '香料', '維生素C(抗氧化劑)', '銅葉綠素鈉(銅葉綠素鈉、麥芽糊精)']","['水', '蔗糖', '奶粉(葡萄糖漿、氫化椰子油、乾酪素鈉、磷酸氫二鉀、脂肪酸甘油酯、二氧化矽、β-胡蘿蔔素)', '菊苣纖維', '奶精(葡萄糖漿、氫化棕櫚仁油、磷酸氫二鉀、乾酪素鈉、碳酸鈣、脂肪酸甘油酯、多磷酸鈉、單及雙脂肪酸甘油二乙醯酒石酸酯、乳酸硬脂酸鈉、香料、維生素C(抗氧化劑))', '綠茶萃取液(即製綠茶粉)', '麥芽糊精']"
c08_椰香綠咖哩嫩雞飯,name,帕泰家-椰香綠咖哩嫩雞飯(辣),7-ELEVEN 帕泰家 椰香綠咖哩嫩雞飯 (辣)
c08_椰香綠咖哩嫩雞飯,manufacturer,統一超食代(股)公司台北廠,統一超食代(股)公司
c09_麻婆豆腐燴飯,manufacturer,聯華食品工業(股)公司彰化廠,聯華食品工業(股)公司
