probe,source,n,n_detected
檸檬酸,official_name,17,17
胺基乙酸,official_name,12,12
焦糖色素,official_name,12,12
脂肪酸甘油酯,official_name,10,10
多磷酸鈉,official_name,10,10
L-麩酸鈉,official_name,10,10
乙醯化己二酸二澱粉,official_name,9,9
琥珀酸二鈉,official_name,9,9
二氧化矽,official_name,8,8
玉米糖膠,official_name,7,7
碳酸鈣,official_name,6,6
醋酸鈉,official_name,6,6
味精,official_common_name,6,6
小蘇打,official_common_name,6,6
DL-胺基丙酸,official_name,6,6
檸檬酸鈉,official_name,6,6
焦磷酸鈉,official_name,6,6
關華豆膠,official_name,5,5
乾酪素鈉,official_name,3,3
β-胡蘿蔔素,official_name,3,3
甘胺酸,official_common_name,3,3
混合濃縮生育醇,official_name,3,3
羧甲基纖維素鈉,official_name,3,3
碳酸氫鈉,official_name,3,3
酸性焦磷酸鈉,official_name,3,3
食用黃色五號,official_name,3,3
脂肪酸蔗糖酯,official_name,3,3
偏磷酸鈉,official_name,3,3
多磷酸鉀,official_name,3,3
磷酸氫二鉀,official_name,2,2
甘草酸鈉,official_name,2,2
三仙膠,official_common_name,2,2
甘油,official_name,2,2
蔗糖素,official_name,2,2
己二烯酸鉀,official_name,2,2
紐甜,official_name,2,2
磷酸二澱粉,official_name,2,2
磷酸鈉,official_name,2,2
食用黃色四號,official_name,2,2
食用紅色七號,official_name,2,2
碳酸鉀,official_name,2,2
磷酸二氫鈉,official_name,2,2
單及雙脂肪酸甘油二乙醯酒石酸酯,official_name,1,1
乳酸硬脂酸鈉,official_name,1,1
醋磺內酯鉀,official_name,1,1
L-抗壞血酸鈉,official_name,1,1
L-抗壞血酸棕櫚酸酯,official_name,1,1
檸檬酸鉀,official_name,1,1
L-天門冬酸鈉,official_name,1,1
碳酸氫銨,official_name,1,1
酒石酸氫鉀,official_name,1,1
醋酸,official_name,1,1
赤藻糖醇,official_name,1,1
乳酸鈣,official_name,1,1
碳酸鎂,official_name,1,1
氯化鉀,official_name,1,1
葡萄糖酸鋅,official_name,1,1
葡萄糖酸鎂,official_name,1,1
焦磷酸鐵,official_name,1,1
矽樹脂,official_name,1,1
葡萄糖酸銅,official_name,1,1
磷酸,official_name,1,1
咖啡因,official_name,1,1
酪蛋白,official_common_name,1,1
磷酸氫二鈉,official_name,1,1
磷酸二氫鈣,official_name,1,1
阿斯巴甜,official_name,1,1
甜菊醣苷,official_name,1,1
甘草素,official_name,1,1
香莢蘭醛,official_name,1,1
食用紅色六號,official_name,1,1
鹿角菜膠,official_name,1,1
異抗壞血酸鈉,official_name,1,1
乳酸,official_name,1,1
己二烯酸,official_name,1,1
5’-次黃嘌呤核苷磷酸二鈉,official_name,1,1
5’-鳥嘌呤核苷磷酸二鈉,official_name,1,1
硫酸鈣,official_name,1,1
氯化鈣,official_name,1,1
